Protein name,Abbr.,Isoelectric Point (pI),Molecular weight (kDa)
&alpha;-Amylase,Amy,5.9,61.0
&beta;-Galactosidase,Gal,4.6,175.0
&gamma;-Globulin,Glob,6.6,57.0
Actin,Act,5.3,43.0
Agglutinin,Agg,4.8,22.0
Aldehyde Dehydrogenase,Alde,5.3,53.0
Aldolase,Aldo,8.5,47.5
Aprotinin,Apr,9.2,6.5
Avidin,Av,10.5,16.9
Casein,Cas,4.9,24.0
Catalase,Cat,6.7,65.5
Chymotrypsin,Chy,8.4,25.0
Cobra Venom Factor,CVF,5.2,149.0
Collagen,Col,6.6,134.0
Cytochrome c,Cyt,10.2,13.0
DNA Ligase,Lig,6.0,60.0
Elastase II,Ela,8.5,26.5
Enolase,Eno,8.4,42.5
Epidermal Growth Factor ,EGF,4.5,40.0
Estrogen Binding Protein,EBP,4.9,115.0
Ferritin,Fer,5.5,19.8
Fibrinogen,Fib,5.8,63.5
Fumerase,Fum,7.6,48.5
G3P Dehydrogenase,GDH,8.3,36.0
Green Fluorescent Protein,GFP,6.2,28.0
Heat Shock Protein,HSP,5.5,70.1
Hemoglobin,Hem,7.1,16.7
Hexokinase,Hex,5.8,120.0
Histone,His,10.8,15.0
Horseradish peroxidase,HP,9.0,34.0
Immunoglobulin,IgG,7.3,145.0
Insulin,Ins,5.4,5.8
Lactalbumin,Lac,4.3,13.0
Leghemoglobin,Leg,4.7,16.0
Lipase,Lip,4.7,40.0
Luciferase,Luc,5.7,50.0
Lysozyme,Lys,11.0,14.4
Myelin Basic Protein,MBP,9.5,18.0
Myoglobin,Myo,7.0,18.0
Neuraminidase,Neu,5.2,50.0
Ovalbumin,Ova,4.6,45.0
Ovalbumin,Ova,4.6,45.0
Pepsin,Pep,1.0,34.5
Phospholypase,Pho,10.5,19.5
Prostate-Specific Antigen,PSA,6.4,30.0
Pyruvate Kinase,PK,5.6,60.0
Ribonuclease A,RibA,9.3,13.7
Salmine,Sal,12.1,3.0
SARS-CoV-2 Spike Protein,CoV,6.2,149.9
Serine Protease,Ser,4.1,22.0
Serum Albumin,Alb,4.9,66.2
Streptavidin,Stp,6.0,13.2
Succinate Ligase,SL,6.6,20.9
Sucrase,Suc,6.5,51.0
Transferrin,Tran,5.9,80.0
Tropomyosin,Trop,5.1,35.0
Trypsin,Tryp,10.8,23.5
Urease A,Ure,4.9,26.5
Xylosidase,Xyl,5.0,100.0
,,,
